year,week,title,link,pdf_link,objet,resume
2019,1,DGAL/SDSSA/2018-952,https://info.agriculture.gouv.fr/boagri/instruction-2018-952,https://info.agriculture.gouv.fr/boagri/instruction-2018-952/telechargement,Gestion du risque norovirus en lien avec la consommation de coquillages.,"Cette instruction technique présente les modalités de gestion du risque lié à la consommation de coquillages contaminés par norovirus. Cette gestion comprend d'une part des mesures de prévention en zone de production de coquillages et d'autre part des actions spécifiques en cas de toxi-infection alimentaire collective (TIAC) en lien avec les norovirus. 
Cette instruction technique abroge et remplace la note de service 2017-326 du 11 avril 2017, dont la plupart des grands principes sont maintenus.
Les principales modifications portent sur :
   - la mise en œuvre des analyses dans le cadre des TIAC (partie III-A) ;
   - la mise en place d'un appui à des projets de recherche (partie III-F)."
2019,1,DGAL/SDSSA/2018-957,https://info.agriculture.gouv.fr/boagri/instruction-2018-957,https://info.agriculture.gouv.fr/boagri/instruction-2018-957/telechargement,Plan exploratoire relatif à la surveillance de la contamination des produits de la pêche et des mollusques bivalves par les Vibrio spp.,"Ce plan de surveillance est destiné à estimer la contamination par les trois espèces Vibrio parahaemolyticus, Vibrio cholerae et Vibrio vulnificus des produits de la pêche et des mollusques bivalves mis sur le marché en France. Il est réalisé à titre exploratoire.
200 échantillons (n=1) doivent être prélevés au stade de la distribution. Ces prélèvements seront répartis proportionnellement à la population humaine dans les 13 régions métropolitaines.
La période de réalisation des prélèvements s'étend du 2 janvier au 31 décembre 2019 pour les produits de la pêche et du 1er avril au 31 octobre 2019 pour les mollusques bivalves vivants.
Les résultats individuels compilés par le laboratoire national de référence (LNR) dans un tableur seront transmis à la DGAL au plus tard le 1er février 2020."
2019,1,DGAL/SDSSA/2018-958,https://info.agriculture.gouv.fr/boagri/instruction-2018-958,https://info.agriculture.gouv.fr/boagri/instruction-2018-958/telechargement,Modification de l'instruction technique DGAL/SDSSA/2018-810 du 05/11/2018 concernant l'évolution des documents d'accompagnement des porcs et les modalités d'utilisation des anciens modèles de document.,"Des modifications sont apportées à l'instruction technique DGAL/SDSSA/2018-810 du 05/11/2018 concernant les obligations de transmission de l'information sur la chaîne alimentaire relative au statut des exploitations de porcs vis-à-vis du risque ""trichine""."
2019,2,DGAL/SDSSA/2018-924,https://info.agriculture.gouv.fr/boagri/instruction-2018-924,https://info.agriculture.gouv.fr/boagri/instruction-2018-924/telechargement,Critères de détermination des établissements éligibles à des mesures de flexibilité et lignes directrices en matière de mise en œuvre de cette flexibilité au niveau du plan de maîtrise sanitaire,"Le paquet hygiène confie la responsabilité primaire de la sécurité des aliments aux exploitants du secteur alimentaire. Pour répondre à cet objectif, ils doivent mettre en place et appliquer un plan de maîtrise sanitaire sur la base de procédures fondées sur les principes HACCP. Toutefois, les règlements prévoient qu'une souplesse suffisante doit exister pour que ces dispositions puissent s'appliquer dans toutes les situations, y compris dans les petites entreprises.  Cette instruction a  pour objectif de définir à quelles entreprises ces souplesses s’appliquent  et de fournir aux services de contrôles et aux exploitants du secteur alimentaire des lignes directrices en matière de mise en œuvre et d’application du PMS dans ces entreprises.
Les mesures de flexibilité relatives à l'utilisation de matériaux traditionnels ou à la mise en œuvre de méthodes traditionnelles ne sont pas incluses dans cette instruction mais prévues par des arrêtés ad hoc."
2019,2,DGAL/SDSSA/2019-8,https://info.agriculture.gouv.fr/boagri/instruction-2019-8,https://info.agriculture.gouv.fr/boagri/instruction-2019-8/telechargement,Normes de commercialisation des œufs et leurs contrôles,"La présente instruction décrit le cadre général du commerce des œufs sur le territoire français, détaille les règles relatives à la vente directe à la ferme telles que modifiées par l'arrêté du 25 novembre 2016, puis évoque les règles applicables aux échanges au sein de l'Union européenne."
2019,5,DGAL/SDSSA/2019-38,https://info.agriculture.gouv.fr/boagri/instruction-2019-38,https://info.agriculture.gouv.fr/boagri/instruction-2019-38/telechargement,Procédure d'agrément des établissements au titre du règlement (CE) n° 853/2004.,"Cette note a pour objet de donner aux directions départementales en charge de la
protection des populations et des directions de l’alimentation, de l’agriculture et de la forêt, la procédure à suivre pour l’agrément des établissements soumis aux dispositions du règlement (CE) n°853/2004 du Parlement européen et du Conseil du 29 avril 2004 fixant des règles spécifiques d’hygiène applicables aux denrées alimentaires d’origine animale. Afin de simplifier la documentation infra-réglementaire existante, il a été décidé de fusionner l’ensemble des notes de service relatives à la procédure d’agrément."
2019,5,DGAL/SDSSA/2019-60,https://info.agriculture.gouv.fr/boagri/instruction-2019-60,https://info.agriculture.gouv.fr/boagri/instruction-2019-60/telechargement,Gestion des suspicions ou des cas confirmés de pestes porcines en abattoir,"La présente instruction décrit la conduite à tenir en cas de suspicion ou de confirmation de peste porcine (PP) en abattoir. Elle ne peut prétendre à l'exhaustivité et répondre dans le détail à la diversité des situations locales. L'objectif visé est d'organiser la détection et le signalement rapides des suspicions de PP à l'abattoir, ainsi que la gestion précoce de ces suspicions pour limiter la diffusion du virus."
2019,6,DGAL/SDSSA/2018-920,https://info.agriculture.gouv.fr/boagri/instruction-2018-920,https://info.agriculture.gouv.fr/boagri/instruction-2018-920/telechargement,Plan exploratoire relatif à la contamination des viandes et foies de veau par Campylobacter au stade de la distribution - 2019,"Ce plan exploratoire est destiné à collecter des données sur la contamination par Campylobacter des viandes et foies de veau mis sur le marché, afin d'évaluer l'exposition du consommateur.
660 échantillons d'une unité (n=1) (330 échantillons de viandes de veau et 330 échantillons de foies de veau) seront prélevés au stade de la distribution. Ces prélèvements seront répartis proportionnellement à la population humaine dans les 13 régions métropolitaines.
La période de réalisation des prélèvements s'étend du 2 janvier au 31 décembre 2019.
Les résultats d'analyses seront transmis par les laboratoires agréés au LNR à chaque fin de trimestre."
2019,9,DGAL/SDSSA/2019-168,https://info.agriculture.gouv.fr/boagri/instruction-2019-168,https://info.agriculture.gouv.fr/boagri/instruction-2019-168/telechargement,Dispositif de formation à la vérification des dossiers de détermination et de validation de la durée de vie microbiologique des aliments,La présente instruction informe de la mise en place en 2019 de sessions de formation à la vérification des dossiers de détermination et de validation de la durée de vie microbiologique (DVM) des aliments.
2019,12,DGAL/SDSSA/2019-220,https://info.agriculture.gouv.fr/boagri/instruction-2019-220,https://info.agriculture.gouv.fr/boagri/instruction-2019-220/telechargement,Maîtrise du risque parasitaire dans les produits de la mer et d'eau douce,"La présente note a pour objet de présenter les dispositions réglementaires relatives à la maîtrise du risque parasitaire dans les produits de la mer et d'eau douce, la mise en œuvre des obligations attendue de la part des professionnels de chaque maillon de la filière, ainsi que les modalités d'inspection lors des contrôles officiels."
